iter	Passed	Remaining
0	26	26248
1	54	27059
2	78	26174
3	101	25277
4	151	30152
5	180	29831
6	243	34519
7	277	34440
8	307	33859
9	385	38142
10	451	40579
11	482	39731
12	508	38631
13	565	39808
14	602	39539
15	626	38519
16	645	37323
17	664	36274
18	690	35646
19	714	35013
20	739	34453
21	762	33886
22	791	33641
23	825	33555
24	848	33087
25	877	32876
26	904	32609
27	939	32630
28	1002	33562
29	1044	33788
30	1089	34055
31	1207	36521
32	1237	36258
33	1321	37547
34	1354	37357
35	1401	37532
36	1431	37261
37	1459	36956
38	1479	36450
39	1494	35857
40	1508	35293
41	1524	34776
42	1541	34300
43	1556	33814
44	1570	33338
45	1614	33475
46	1636	33185
47	1656	32855
48	1675	32519
49	1687	32053
50	1702	31681
51	1716	31294
52	1730	30924
53	1744	30568
54	1758	30216
55	1775	29929
56	1794	29688
57	1811	29422
58	1828	29157
59	1880	29468
60	1913	29454
61	1941	29378
62	1968	29284
63	2045	29914
64	2110	30363
65	2182	30889
66	2238	31171
67	2271	31126
68	2355	31776
69	2382	31654
70	2413	31576
71	2444	31502
72	2461	31262
73	2482	31061
74	2507	30931
75	2524	30696
76	2542	30482
77	2559	30251
78	2578	30057
79	2597	29871
80	2623	29766
81	2655	29728
82	2694	29766
83	2751	30001
84	2847	30647
85	2929	31138
86	3038	31883
87	3072	31838
88	3127	32014
89	3200	32358
90	3234	32313
91	3249	32071
92	3261	31806
93	3275	31574
94	3290	31341
95	3305	31124
96	3320	30915
97	3339	30737
98	3353	30521
99	3367	30307
100	3380	30093
101	3391	29860
102	3406	29665
103	3419	29461
104	3431	29251
105	3442	29030
106	3455	28836
107	3656	30203
108	3670	30005
109	3682	29796
110	3695	29594
111	3705	29381
112	3794	29784
113	3805	29574
114	3818	29384
115	3830	29192
116	3844	29012
117	3854	28810
118	3867	28634
119	3880	28459
120	3893	28285
121	3903	28094
122	3916	27923
123	3928	27753
124	3942	27599
125	3953	27421
126	3967	27270
127	3979	27111
128	4064	27442
129	4078	27295
130	4093	27153
131	4105	26995
132	4119	26852
133	4132	26710
134	4148	26578
135	4162	26440
136	4176	26308
137	4190	26174
138	4201	26024
139	4215	25895
140	4229	25765
141	4243	25641
142	4258	25518
143	4272	25394
144	4283	25257
145	4298	25140
146	4321	25074
147	4358	25091
148	4389	25068
149	4406	24969
150	4419	24849
151	4430	24720
152	4448	24625
153	4462	24514
154	4477	24409
155	4492	24303
156	4506	24195
157	4520	24088
158	4530	23965
159	4542	23848
160	4557	23751
161	4571	23647
162	4586	23552
163	4600	23450
164	4612	23341
165	4624	23232
166	4638	23136
167	4657	23064
168	4671	22972
169	4685	22876
170	4699	22781
171	4712	22683
172	4723	22579
173	4736	22483
174	4749	22389
175	4762	22296
176	4773	22194
177	4787	22106
178	4799	22012
179	4813	21927
180	4826	21839
181	4838	21744
182	4851	21659
183	4865	21577
184	4878	21492
185	4892	21410
186	4903	21319
187	4916	21235
188	4929	21152
189	4942	21071
190	4953	20982
191	4968	20910
192	4983	20836
193	4996	20759
194	5009	20678
195	5022	20602
196	5033	20515
197	5046	20439
198	5065	20390
199	5084	20337
200	5097	20262
201	5109	20186
202	5123	20114
203	5134	20033
204	5146	19958
205	5158	19884
206	5171	19811
207	5181	19731
208	5193	19657
209	5206	19588
210	5216	19507
211	5228	19435
212	5240	19364
213	5250	19283
214	5263	19216
215	5275	19148
216	5288	19082
217	5299	19009
218	5311	18942
219	5324	18877
220	5336	18812
221	5346	18738
222	5359	18673
223	5372	18610
224	5384	18547
225	5394	18476
226	5407	18415
227	5419	18351
228	5430	18283
229	5442	18220
230	5454	18158
231	5471	18113
232	5484	18054
233	5495	17989
234	5507	17928
235	5519	17868
236	5530	17805
237	5542	17744
238	5555	17688
239	5568	17632
240	5579	17570
241	5591	17515
242	5604	17460
243	5618	17406
244	5629	17347
245	5640	17288
246	5653	17235
247	5674	17207
248	5688	17156
249	5699	17099
250	5710	17040
251	5722	16986
252	5735	16934
253	5747	16880
254	5757	16821
255	5770	16770
256	5783	16721
257	5796	16669
258	5807	16615
259	5820	16565
260	5832	16514
261	5845	16465
262	5855	16408
263	5868	16360
264	5886	16327
265	5902	16287
266	5915	16240
267	5928	16191
268	5938	16137
269	5951	16091
270	5964	16043
271	5976	15996
272	5986	15942
273	6000	15897
274	6013	15852
275	6026	15808
276	6037	15757
277	6049	15712
278	6062	15666
279	6071	15613
280	6084	15568
281	6096	15523
282	6108	15477
283	6120	15429
284	6132	15385
285	6145	15343
286	6158	15298
287	6168	15250
288	6181	15207
289	6201	15183
290	6215	15143
291	6227	15099
292	6240	15057
293	6250	15010
294	6263	14968
295	6277	14929
296	6293	14895
297	6308	14860
298	6319	14815
299	6330	14771
300	6343	14730
301	6355	14689
302	6366	14645
303	6383	14614
304	6396	14574
305	6408	14535
306	6421	14494
307	6431	14450
308	6444	14411
309	6458	14374
310	6470	14334
311	6481	14291
312	6493	14252
313	6506	14214
314	6517	14172
315	6529	14132
316	6541	14094
317	6554	14056
318	6564	14014
319	6577	13977
320	6591	13941
321	6603	13905
322	6614	13863
323	6627	13826
324	6640	13791
325	6653	13754
326	6663	13714
327	6676	13678
328	6688	13641
329	6706	13616
330	6723	13589
331	6736	13553
332	6745	13511
333	6758	13476
334	6771	13442
335	6783	13405
336	6794	13366
337	6807	13332
338	6819	13297
339	6832	13263
340	6844	13226
341	6857	13194
342	6872	13163
343	6885	13130
344	6897	13095
345	6908	13058
346	6921	13024
347	6934	12992
348	6947	12959
349	6957	12921
350	6971	12889
351	6984	12857
352	6997	12825
353	7007	12787
354	7020	12755
355	7032	12721
356	7042	12683
357	7055	12651
358	7067	12619
359	7081	12588
360	7091	12552
361	7105	12522
362	7122	12498
363	7137	12471
364	7154	12446
365	7167	12414
366	7180	12385
367	7194	12355
368	7203	12318
369	7216	12287
370	7228	12256
371	7239	12221
372	7252	12191
373	7265	12161
374	7279	12132
375	7293	12104
376	7303	12068
377	7316	12039
378	7328	12008
379	7340	11975
380	7352	11944
381	7365	11915
382	7378	11886
