iter	MultiClass
0	1.685946495
1	1.597148677
2	1.523650856
3	1.460403354
4	1.408920555
5	1.362681153
6	1.325369464
7	1.290655385
8	1.255900758
9	1.228422926
10	1.204298313
11	1.181492596
12	1.161731298
13	1.143395617
14	1.127840728
15	1.113470148
16	1.099370915
17	1.085446196
18	1.073163576
19	1.062187383
20	1.051747584
21	1.042547726
22	1.03417389
23	1.025430676
24	1.018767967
25	1.011620212
26	1.004225388
27	0.9987498088
28	0.9926376958
29	0.9860961075
30	0.9800326967
31	0.9745887724
32	0.9702305062
33	0.9655004042
34	0.9611429726
35	0.9574202604
36	0.9537335422
37	0.9504874177
38	0.946342433
39	0.9425387036
40	0.9385725308
41	0.9350897271
42	0.9314063013
43	0.9274111582
44	0.924480933
45	0.9202004057
46	0.9173677908
47	0.9152215004
48	0.9123697714
49	0.9097396295
50	0.9067824978
51	0.9047017791
52	0.9022345841
53	0.8991748486
54	0.8962456163
55	0.8935645581
56	0.8916804134
57	0.8889851983
58	0.8865511827
59	0.883936785
60	0.8806145457
61	0.8785283785
62	0.8770701802
63	0.8741590695
64	0.8720038312
65	0.8707998513
66	0.8683655839
67	0.8677697134
68	0.8655874771
69	0.8633571041
70	0.8614198918
71	0.8597864633
72	0.8572021153
73	0.8549919744
74	0.8534841124
75	0.8509431601
76	0.8489208872
77	0.8477137055
78	0.8453659361
79	0.8433477408
80	0.842258456
81	0.8403330615
82	0.8383997281
83	0.8365715563
84	0.8348826725
85	0.83174817
86	0.8294579847
87	0.828082885
88	0.8267198794
89	0.8253917118
90	0.8233255356
91	0.821618592
92	0.8194224948
93	0.8176161648
94	0.81617889
95	0.8147318407
96	0.8130670639
97	0.8109292592
98	0.8089809828
99	0.8076158344
100	0.8055122305
101	0.8045387877
102	0.8028903787
103	0.8016280271
104	0.7994133398
105	0.7984009082
106	0.7971557811
107	0.7948030982
108	0.7931052054
109	0.7912291904
110	0.7899126531
111	0.7884957668
112	0.7860369336
113	0.7841265237
114	0.7820170448
115	0.7808230372
116	0.7791818553
117	0.7772991346
118	0.7754679756
119	0.7735169986
120	0.7717713528
121	0.7701337371
122	0.7678830524
123	0.766339714
124	0.7649747159
125	0.7631419683
126	0.760366742
127	0.7597559938
128	0.7580084463
129	0.7553460345
130	0.753432544
131	0.751156618
132	0.749713485
133	0.7486137412
134	0.7469702222
135	0.7455632969
136	0.7447419173
137	0.7422288942
138	0.7412988226
139	0.7402075841
140	0.7377895946
141	0.7352732423
142	0.7339794321
143	0.7323078388
144	0.7312400723
145	0.7301781112
146	0.7287470461
147	0.7269036764
148	0.724769882
149	0.722412824
150	0.7201647435
151	0.7185982111
152	0.7174987683
153	0.716200214
154	0.7144512057
155	0.7125714655
156	0.7112410736
157	0.7098214432
158	0.7078666002
159	0.7063459189
160	0.7054975098
161	0.7041735424
162	0.7023509349
163	0.7006045957
164	0.6987531973
165	0.6970159142
166	0.6947686773
167	0.6941538093
168	0.6931119645
169	0.6915802243
170	0.6894127321
171	0.6875698553
172	0.6858011193
173	0.6847233401
174	0.6827650847
175	0.6818801313
176	0.680753408
177	0.6796816693
178	0.6780127484
179	0.676091722
180	0.673785478
181	0.6725484813
182	0.6709716589
183	0.669709669
184	0.6680442622
185	0.6657973617
186	0.6649311359
187	0.6644728401
188	0.6631379958
189	0.6616177189
190	0.6606336943
191	0.6593633019
192	0.6578613796
193	0.6569572422
194	0.6560056899
195	0.6545470168
196	0.6526071791
197	0.651014672
198	0.6495932701
199	0.6481462759
200	0.6466325802
201	0.6447838157
202	0.6436991037
203	0.6415462914
204	0.6407450274
205	0.6396753173
